,bedarfe
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-1.95
51,-1.95
52,-1.95
53,-1.95
54,-1.95
55,-1.95
56,-1.95
57,-1.95
58,-1.95
59,-1.95
60,-1.95
61,-1.95
62,-1.95
63,-1.95
64,-1.95
65,-1.95
66,-1.95
67,-1.95
68,-1.95
69,-1.95
70,-1.95
71,-1.95
72,-1.95
73,-1.95
74,-1.95
75,-1.95
76,-1.95
77,-1.95
78,-1.95
79,-1.95
80,-1.95
81,-1.95
82,-1.95
83,-1.95
84,-1.95
85,-1.95
86,-1.95
87,-1.95
88,-1.95
89,-1.95
90,-1.95
91,-1.95
92,-1.95
93,-1.95
94,-1.95
95,-1.95
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,-0.34587
133,-0.34587
134,-0.34587
135,-0.34587
136,-0.34587
137,-0.34587
138,-0.34587
139,-0.34587
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,-1.95
243,-1.95
244,-1.95
245,-1.95
246,-1.95
247,-1.95
248,-1.95
249,-1.95
250,-1.95
251,-1.95
252,-1.95
253,-1.95
254,-1.95
255,-1.95
256,-1.95
257,-1.95
258,-1.95
259,-1.95
260,-1.95
261,-1.95
262,-1.95
263,-1.95
264,-1.95
265,-1.95
266,-1.95
267,-1.95
268,-1.95
269,-1.95
270,-1.95
271,-1.95
272,-1.95
273,-1.95
274,-1.95
275,-1.95
276,-1.95
277,-1.95
278,-1.95
279,-1.95
280,-1.95
281,-1.95
282,-1.95
283,-1.95
284,-1.95
285,-1.95
286,-1.95
287,-1.95
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.5
385,0.5
386,0.5
387,0.5
388,0.5
389,0.5
390,0.5
391,0.5
392,0.5
393,0.5
394,0.5
395,0.5
396,0.5
397,0.5
398,0.5
399,0.5
400,0.5
401,0.5
402,0.5
403,0.5
404,0.5
405,0.5
406,0.5
407,0.5
408,0.5
409,0.5
410,0.5
411,0.5
412,0.5
413,0.5
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,-1.5
435,-1.5
436,-1.5
437,-1.5
438,-1.5
439,-1.5
440,-1.5
441,-1.5
442,-1.5
443,-1.5
444,-1.5
445,-1.5
446,-1.5
447,-1.5
448,-1.5
449,-1.5
450,-1.5
451,-1.5
452,-1.5
453,-1.5
454,-1.5
455,-1.5
456,-1.5
457,-1.5
458,-1.5
459,-1.5
460,-1.5
461,-1.5
462,-1.5
463,-1.5
464,-1.5
465,-1.5
466,-1.5
467,-1.5
468,-1.5
469,-1.5
470,-1.5
471,-1.5
472,-1.5
473,-1.5
474,-1.5
475,-1.5
476,-1.5
477,-1.5
478,-1.5
479,-1.5
